iteration,medication_name,qaly,costs,acute_events,chronic_event,exit_reason,group
7,3TC_ABC__DRV_c,1.4809926738696164,3686540.959335682,0,0,failure,PI
8,3TC_ABC__DRV_c,2.285750464315053,6663450.334964845,0,0,failure,PI
9,3TC_ABC__DRV_c,2.145797786636025,4068278.047339583,0,1,failure,PI
10,3TC_ABC__DRV_c,2.399818303087047,6690541.420296385,0,0,failure,PI
1,3TC_ABC__DRV_r,1.4624742799629304,3224097.556549956,0,0,failure,PI
2,3TC_ABC__DRV_r,1.53959950767935,2956362.490489491,0,0,failure,PI
3,3TC_ABC__DRV_r,1.5111872263518382,3442009.037114328,0,0,failure,PI
4,3TC_ABC__DRV_r,1.4116702712623312,3048115.5520882187,0,0,failure,PI
5,3TC_ABC__DRV_r,1.4641024876677098,3046542.513348876,0,0,failure,PI
6,3TC_ABC__DRV_r,1.5455400519457472,3326665.546596067,0,0,failure,PI
7,3TC_ABC__DRV_r,1.4143059424948188,3288596.9929836364,0,0,failure,PI
8,3TC_ABC__DRV_r,1.5006513300553097,3287244.0909206336,0,0,failure,PI
9,3TC_ABC__DRV_r,2.406071952544182,5266955.267864196,0,0,failure,PI
10,3TC_ABC__DRV_r,2.3799373919516875,5281669.75711317,0,0,failure,PI
1,ABC_3TC__ATV_r,1.4171530951122722,2185541.8033887614,0,0,failure,PI
2,ABC_3TC__ATV_r,2.3878092529777253,3604376.801136552,0,0,failure,PI
3,ABC_3TC__ATV_r,2.055963592068431,3064580.1638437486,0,1,failure,PI
4,ABC_3TC__ATV_r,1.4483832435492985,2218041.1595005803,0,0,failure,PI
5,ABC_3TC__ATV_r,1.4966896729935897,2590078.892447061,0,0,failure,PI
6,ABC_3TC__ATV_r,2.2692367744784194,3085617.0023560217,0,0,failure,PI
7,ABC_3TC__ATV_r,1.4960690228210884,2541990.7405363754,0,0,failure,PI
8,ABC_3TC__ATV_r,1.4556094819731018,2484095.941545184,0,0,failure,PI
9,ABC_3TC__ATV_r,1.4255797273999158,2443840.7297820915,0,0,failure,PI
10,ABC_3TC__ATV_r,2.260193757223453,3579061.5429418264,0,0,failure,PI
1,ABC_3TC__DRV_r,2.4880346591008244,5858343.302978183,0,0,failure,PI
2,ABC_3TC__DRV_r,2.4001336239557896,5611782.667406758,0,0,failure,PI
3,ABC_3TC__DRV_r,1.429422887852474,3260296.695870661,0,0,failure,PI
4,ABC_3TC__DRV_r,1.5492765991772797,3031901.529417985,0,0,failure,PI
5,ABC_3TC__DRV_r,1.4332057392449915,3388271.4482374717,0,0,failure,PI
6,ABC_3TC__DRV_r,1.5033851764141528,3109538.6053059245,0,0,failure,PI
7,ABC_3TC__DRV_r,2.355362936584372,5250929.06438431,0,0,failure,PI
8,ABC_3TC__DRV_r,2.379059147949384,5670836.992071506,0,0,failure,PI
9,ABC_3TC__DRV_r,1.519280520531804,3253090.5251786625,0,0,failure,PI
10,ABC_3TC__DRV_r,1.4147182696624672,3005715.86433139,0,0,failure,PI
1,ABC_3TC__DTG,2.224818575989282,7904037.638405228,0,0,failure,INSTI
2,ABC_3TC__DTG,1.445891314878971,4557776.739794134,0,0,failure,INSTI
3,ABC_3TC__DTG,1.5181243038892538,4189280.263152239,0,0,failure,INSTI
4,ABC_3TC__DTG,1.4824550518587096,4246629.669400322,0,0,failure,INSTI
5,ABC_3TC__DTG,1.5127554762627264,4238038.212478877,0,0,failure,INSTI
6,ABC_3TC__DTG,2.4356911275037483,7849401.05986001,0,0,failure,INSTI
