Terapia,Grupo,Probabilidad,Umbral
TAF_FTC_BIC,INSTI,0.0,25871394.009090908
TAF_FTC_EVG_c,INSTI,0.0,25871394.009090908
TAF_FTC_RPV,NNRTI,0.0,25871394.009090908
TAF_FTC__DOR,NNRTI,0.0,25871394.009090908
TAF_FTC__DRV_c,PI,0.0,25871394.009090908
TAF_FTC__DRV_r,PI,0.0,25871394.009090908
TAF_FTC__DTG,INSTI,0.0,25871394.009090908
TAF_FTC__RAL,INSTI,0.0,25871394.009090908
TAF_FTC__RPV,NNRTI,0.0,25871394.009090908
TAF__DRV_c,PI,3.3333333333333335e-05,25871394.009090908
TDF_FTC_EVG_c,INSTI,0.0517,25871394.009090908
TDF_FTC_RPV,NNRTI,0.0221,25871394.009090908
TDF_FTC__ATV_r,PI,0.027766666666666665,25871394.009090908
TDF_FTC__DOR,NNRTI,0.0,25871394.009090908
TDF_FTC__DRV_c,PI,0.004933333333333333,25871394.009090908
TDF_FTC__DRV_r,PI,0.0199,25871394.009090908
TDF_FTC__DTG,INSTI,0.050866666666666664,25871394.009090908
TDF_FTC__EFV,NNRTI,0.041833333333333333,25871394.009090908
TDF_FTC__LPV_r,PI,0.022033333333333332,25871394.009090908
TDF_FTC__NVP,NNRTI,0.043166666666666666,25871394.009090908
TDF_FTC__RAL,INSTI,0.017533333333333335,25871394.009090908
TDF_FTC__RPV,NNRTI,0.0004333333333333333,25871394.009090908
3TC_ABC__DRV_c,PI,0.007033333333333333,26668475.793939397
3TC_ABC__DRV_r,PI,0.029266666666666667,26668475.793939397
3TC__DRV_c,PI,0.007233333333333333,26668475.793939397
3TC__DRV_r,PI,0.031033333333333333,26668475.793939397
3TC__DTG,INSTI,0.06853333333333333,26668475.793939397
3TC__FTC__DRV_c,PI,0.0012666666666666666,26668475.793939397
3TC__FTC__DRV_r,PI,0.0027,26668475.793939397
ABC_3TC_DTG,INSTI,0.06323333333333334,26668475.793939397
ABC_3TC__ATV_r,PI,0.0404,26668475.793939397
ABC_3TC__DRV_r,PI,0.028933333333333332,26668475.793939397
ABC_3TC__DTG,INSTI,0.0691,26668475.793939397
ABC_3TC__EFV,NNRTI,0.045733333333333334,26668475.793939397
ABC_3TC__LPV_r,PI,0.0258,26668475.793939397
ABC_3TC__NVP,NNRTI,0.058166666666666665,26668475.793939397
ABC_3TC__RAL,INSTI,0.0286,26668475.793939397
AZT_3TC_NVP,NNRTI,0.05676666666666667,26668475.793939397
AZT_3TC__ATV_r,PI,0.0377,26668475.793939397
AZT_3TC__LPV_r,PI,0.028466666666666668,26668475.793939397
AZT_3TC__NVP,NNRTI,0.05876666666666667,26668475.793939397
DRV_c,PI,0.0093,26668475.793939397
DTG_3TC,INSTI,0.0,26668475.793939397
TAF_FTC_BIC,INSTI,0.0,26668475.793939397
TAF_FTC_EVG_c,INSTI,0.0,26668475.793939397
TAF_FTC_RPV,NNRTI,0.0,26668475.793939397
TAF_FTC__DOR,NNRTI,0.0,26668475.793939397
TAF_FTC__DRV_c,PI,0.0,26668475.793939397
TAF_FTC__DRV_r,PI,0.0,26668475.793939397
TAF_FTC__DTG,INSTI,0.0,26668475.793939397
TAF_FTC__RAL,INSTI,0.0,26668475.793939397
TAF_FTC__RPV,NNRTI,0.0,26668475.793939397
TAF__DRV_c,PI,3.3333333333333335e-05,26668475.793939397
TDF_FTC_EVG_c,INSTI,0.0516,26668475.793939397
TDF_FTC_RPV,NNRTI,0.0223,26668475.793939397
TDF_FTC__ATV_r,PI,0.027466666666666667,26668475.793939397
TDF_FTC__DOR,NNRTI,0.0,26668475.793939397
TDF_FTC__DRV_c,PI,0.0049,26668475.793939397
TDF_FTC__DRV_r,PI,0.019933333333333334,26668475.793939397
TDF_FTC__DTG,INSTI,0.051166666666666666,26668475.793939397
TDF_FTC__EFV,NNRTI,0.041433333333333336,26668475.793939397
TDF_FTC__LPV_r,PI,0.021766666666666667,26668475.793939397
TDF_FTC__NVP,NNRTI,0.042833333333333334,26668475.793939397
TDF_FTC__RAL,INSTI,0.018133333333333335,26668475.793939397
TDF_FTC__RPV,NNRTI,0.0005,26668475.793939397
